ID,Dimension,Section,SectionName,Question,Score (0-4 or NA),Evidence Link / Note
I3,Automation & Tooling,I,Tooling,"Is tool usage/licensing tracked for cost governance?",,
I4,Automation & Tooling,I,Tooling,"Is there integration between tools rather than manual data re-entry?",,
J1,AI Adoption,J,AI in Testing,"Is AI used anywhere in the test lifecycle?",,
J2,AI Adoption,J,AI in Testing,"Is AI usage through an org-approved/governed tool with human review before artefacts are trusted?",,
J3,AI Adoption,J,AI in Testing,"Is the impact of AI usage measured (time saved, quality uplift)?",,
J4,AI Adoption,J,AI in Testing,"Is there awareness/training on AI risks (hallucination, data leakage)?",,
K1,Competency/Governance/Culture,K,Competency & Skills,"Is there a defined skills/competency matrix for testers/SDETs?",,
K2,Competency/Governance/Culture,K,Competency & Skills,"Are individual development plans tied to identified skill gaps?",,
K3,Competency/Governance/Culture,K,Competency & Skills,"Is there a career path for testers into SDET/QE leadership?",,
K4,Competency/Governance/Culture,K,Competency & Skills,"Is knowledge-sharing (brown bags, wiki, community of practice) active?",,
K5,Competency/Governance/Culture,K,Competency & Skills,"Is tester competency reassessed on a defined cadence against a documented rubric, with upskill progress tracked?",,
L1,Competency/Governance/Culture,L,Governance & Continuous Improvement,"Are the org-standard KPIs tracked for this team?",,
L2,Competency/Governance/Culture,L,Governance & Continuous Improvement,"Is there a quarterly maturity self-assessment/re-assessment rhythm already in place?",,
L3,Competency/Governance/Culture,L,Governance & Continuous Improvement,"Are improvement actions from the last assessment tracked to closure?",,
M1,Competency/Governance/Culture,M,Culture & Stakeholder Collaboration,"Is quality treated as a whole-team responsibility, not siloed to a QA team?",,
M2,Competency/Governance/Culture,M,Culture & Stakeholder Collaboration,"Do Product/Business stakeholders participate in UAT/acceptance reviews?",,
M3,Competency/Governance/Culture,M,Culture & Stakeholder Collaboration,"Is there psychological safety to raise a quality concern and delay a release?",,
M4,Competency/Governance/Culture,M,Culture & Stakeholder Collaboration,"Is testing represented in sprint/release planning as first-class work?",,
N1,Process,N,Agile Ceremony Integration & Release Aggregation,"Does a tester participate in backlog refinement to review AC testability?",,
N2,Process,N,Agile Ceremony Integration & Release Aggregation,"Is test approach/estimate discussed alongside dev estimate at sprint planning?",,
N3,Process,N,Agile Ceremony Integration & Release Aggregation,"Do testers raise blockers in standup as first-class impediments?",,
N4,Process,N,Agile Ceremony Integration & Release Aggregation,"Is there an explicit, scheduled feature-level aggregation test pass before a feature is declared Done?",,
N5,Process,N,Agile Ceremony Integration & Release Aggregation,"Is there a feature-level demo/showcase distinct from the routine sprint-level demo?",,
N6,Process,N,Agile Ceremony Integration & Release Aggregation,"Does the retrospective carry a standing quality question?",,
N7,Process,N,Agile Ceremony Integration & Release Aggregation,"Is release cadence explicitly declared, with every release passing a pre-production gate?",,
N8,Process,N,Agile Ceremony Integration & Release Aggregation,"Does regression scope for a release scale with the number of sprints' worth of change batched into it?",,
